Time	CountRate	Error
47456.51607416737	181.55217	5.6970496
47456.516814849805	200.31256	5.8841405
47456.5170000203	170.52661	5.7264185
47456.517185190794	168.84193	5.71191
47456.517370361755	169.93787	5.715321
47456.51755553225	170.16188	5.714233
47456.51774070274	187.63208	5.803427
47456.51792587323	178.90999	5.7532887
47456.518111043726	169.25891	5.5890393
47456.51829621422	161.48616	5.666798
47456.518481385174	164.19228	5.6540937
47456.51866655567	182.52544	5.761272
47456.51885172616	176.50648	5.717062
47456.51903689666	176.08743	5.729068
47456.519222067145	166.8926	5.629961
47456.51940723764	180.94978	5.7039227
47456.519592408134	171.06406	5.6595035
47456.519777579095	158.3437	5.537589
47456.51996274958	164.58849	5.6730375
47456.52014792008	162.98979	5.607844
47456.52033309057	169.07285	5.640506
47456.520518261066	162.92818	5.6323442
47456.52070343155	174.2004	5.634471
47456.520888602514	164.26894	5.609611
47456.52107377301	183.46486	5.7249994
47456.521258943496	157.35492	5.5949945
47456.52144411399	168.9536	5.5751786
47456.521629284485	170.78706	5.6392317
47456.52181445498	163.15718	5.6051016
47456.52199962593	161.51784	5.5945387
47456.52588820767	144.23582	6.538031
47456.52607337816	152.83443	5.505154
47456.52625854865	155.31601	5.5195
47456.52644371914	150.7728	5.505656
47456.52662888963	145.25362	5.5090604
47456.52681406059	141.9669	7.749021
47456.527925084	    152.61206	5.4868093
47456.5281102545	155.57558	5.665044
